model,trojan netlist,n_pcp,n_labels,approx_error,detection_error
lstm,troj58_0U5@c5315_T058_noassign_vallogic,1,0,0,0
lstm,trojan17_0@s35932_T017_noassign_vallogic,27,27,6.75,0
lstm,troj15_0U4@s13207_T015_noassign_vallogic,21,0,0,0
lstm,troj15_0U2@s13207_T015_noassign_vallogic,21,0,0,0
lstm,troj33_0U6@c6288_T033_noassign_vallogic,12,0,0,0
lstm,troj7_0U2@s15850_T007_noassign_vallogic,13,6,3.25,0
lstm,trojan7_0@s15850_T007_noassign_vallogic,36,28,9,0
lstm,troj33_0U5@c6288_T033_noassign_vallogic,12,12,3,0
lstm,troj17_0U4@s35932_T017_noassign_vallogic,10,10,2.5,0
lstm,troj58_0U4@c5315_T058_noassign_vallogic,6,6,1.5,0
lstm,trojan10_0@s1423_T010_noassign_vallogic,108,90,27,0
lstm,trojan58_0@c5315_T058_noassign_vallogic,18,14,4.5,0
lstm,troj64_0U3@c3540_T064_noassign_vallogic,4,4,1,0
lstm,troj64_0U1@c3540_T064_noassign_vallogic,32,30,8,0
lstm,troj10_0U3@s1423_T010_noassign_vallogic,8,1,0,1
lstm,troj58_0U2@c5315_T058_noassign_vallogic,20,18,5,0
lstm,troj17_0U2@s35932_T017_noassign_vallogic,13,13,3.25,0
lstm,troj2_0U2@c2670_T002_noassign_vallogic,15,15,3.75,0
lstm,troj15_0U3@s13207_T015_noassign_vallogic,8,0,0,0
lstm,troj17_0U5@s35932_T017_noassign_vallogic,8,0,0,0
lstm,troj64_0U5@c3540_T064_noassign_vallogic,4,0,0,0
lstm,troj17_0U1@s35932_T017_noassign_vallogic,15,8,3.75,0
lstm,troj33_0U3@c6288_T033_noassign_vallogic,8,8,2,0
lstm,troj7_0U4@s15850_T007_noassign_vallogic,29,2,0,2
lstm,trojan2_0@c2670_T002_noassign_vallogic,13,13,3.25,0
lstm,troj64_0U2@c3540_T064_noassign_vallogic,26,26,6.5,0
lstm,troj33_0U1@c6288_T033_noassign_vallogic,100,100,25,0
lstm,troj64_0U4@c3540_T064_noassign_vallogic,28,28,7,0
lstm,troj17_0U6@s35932_T017_noassign_vallogic,10,9,2.5,1
lstm,troj2_0U3@c2670_T002_noassign_vallogic,8,8,2,0
lstm,troj10_0U2@s1423_T010_noassign_vallogic,11,11,2.75,0
lstm,troj58_0U6@c5315_T058_noassign_vallogic,16,16,4,0
lstm,troj33_0U7@c6288_T033_noassign_vallogic,32,32,8,0
lstm,troj33_0U4@c6288_T033_noassign_vallogic,32,32,8,0
lstm,troj10_0U1@s1423_T010_noassign_vallogic,69,69,17.25,0
lstm,troj17_0U3@s35932_T017_noassign_vallogic,8,8,2,0
lstm,troj7_0U3@s15850_T007_noassign_vallogic,6,0,0,0
lstm,troj7_0U1@s15850_T007_noassign_vallogic,15,0,0,0
lstm,troj15_0U5@s13207_T015_noassign_vallogic,8,0,0,0
lstm,troj58_0U1@c5315_T058_noassign_vallogic,31,30,7.75,0
lstm,trojan64_0@c3540_T064_noassign_vallogic,22,11,3.5,0
lstm,troj2_0U1@c2670_T002_noassign_vallogic,20,20,5,0
lstm,troj15_0U1@s13207_T015_noassign_vallogic,24,2,0,2
lstm,troj58_0U3@c5315_T058_noassign_vallogic,8,8,2,0
lstm,troj17_0U8@s35932_T017_noassign_vallogic,10,0,0,0
lstm,trojan33_0@c6288_T033_noassign_vallogic,96,96,24,0
lstm,trojan15_0@s13207_T015_noassign_vallogic,39,6,4.5,0
lstm,troj2_0U4@c2670_T002_noassign_vallogic,4,4,1,0
lstm,troj33_0U2@c6288_T033_noassign_vallogic,16,16,4,0
lstm,troj17_0U7@s35932_T017_noassign_vallogic,36,0,0,0
